Time,Stage 1 Speed,Stage 2 Speed,Stage 1 Altitude,Stage 2 Altitude,Stage 1 LOX,Stage 2 LOX,Stage 1 CH4,Stage 2 CH4,Stage 1 Pitch,Stage 2 Pitch,Stage 1 Engines,Stage 2 Engines,Stage 1 Center Engines,Stage 2 Center Engines,Stage 1 Middle Engines,Stage 1 Outer Engines,Stage 2 Outer Engines
5.00,,,,,,,,,,,.00,,.00,,.00,.00,,
5.03,,,,,,,,,,,.00,,.00,,.00,.00,,
5.07,,,,,,,,,,,.00,,.00,,.00,.00,,
5.10,,,,,,,,,,,.00,,.00,,.00,.00,,
5.13,,,,,,,,,,,.00,,.00,,.00,.00,,
5.17,,,,,,,,,,,.00,,.00,,.00,.00,,
5.20,,,,,,,,,,,.00,,.00,,.00,.00,,
5.23,,,,,,,,,,,.00,,.00,,.00,.00,,
5.27,,,,,,,,,,,.00,,.00,,.00,.00,,
5.30,34.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.33,34.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.37,35.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.40,35.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.43,35.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.47,36.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.50,36.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.54,37.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.57,37.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.60,38.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.63,38.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.67,39.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.70,39.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.73,40.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.77,40.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.80,,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
5.84,,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
6.00,4.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
6.03,,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
6.07,,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
6.10,,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
6.14,43.00,,.00,,.00,,.00,,,,.00,,.00,,.00,.00,,
