Time,Stage 1 Speed,Stage 2 Speed,Stage 1 Altitude,Stage 2 Altitude,Stage 1 LOX,Stage 2 LOX,Stage 1 CH4,Stage 2 CH4,Stage 1 Pitch,Stage 2 Pitch,Stage 1 Engines,Stage 2 Engines,Stage 1 Center Engines,Stage 2 Center Engines,Stage 1 Middle Engines,Stage 1 Outer Engines,Stage 2 Outer Engines
-7.00,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.97,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.93,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.90,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.87,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.83,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.80,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.77,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.73,,,,,,,,,,,.00,,.00,,.00,.00,,
-6.70,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.67,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.64,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.60,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.57,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.53,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.50,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.47,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.43,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.40,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.37,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.33,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.30,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.27,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.23,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.20,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.17,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.13,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.10,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.07,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.03,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-6.00,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-5.97,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-5.93,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-5.90,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-5.87,.00,,.00,,92.50,,95.00,,,,.00,,.00,,.00,.00,,
-5.83,,,.00,,,,,,,,,,,,,,,
-5.80,,,.00,,,,,,,,,,,,,,,
