Time,Stage 1 Speed,Stage 2 Speed,Stage 1 Altitude,Stage 2 Altitude,Stage 1 LOX,Stage 2 LOX,Stage 1 CH4,Stage 2 CH4,Stage 1 Pitch,Stage 2 Pitch,Stage 1 Engines,Stage 2 Engines,Stage 1 Center Engines,Stage 2 Center Engines,Stage 1 Middle Engines,Stage 1 Outer Engines,Stage 2 Outer Engines
-6.00,,,,,,,,,,,.00,,.00,,.00,.00,,
-5.97,,,,,,,,,,,.00,,.00,,.00,.00,,
-5.93,,,,,,,,,,,.00,,.00,,.00,.00,,
-5.90,,,,,,,,,,,.00,,.00,,.00,.00,,
-5.87,,,,,,,,,,,.00,,.00,,.00,.00,,
-5.83,,,,,,,,,,,.00,,.00,,.00,.00,,
-5.80,,,,,,,,,,,.00,,.00,,.00,.00,,
-5.00,,,,,,,,,,,.00,,.00,,.00,.00,,
-4.97,,,,,,,,,,,.00,,.00,,.00,.00,,
-4.93,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.90,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.87,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.84,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.80,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.77,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.73,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.70,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.67,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.63,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.60,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.56,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.53,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.50,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.47,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.44,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.40,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.37,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.33,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.30,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.27,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.23,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.20,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.17,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.13,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-4.10,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.07,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.03,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-4.00,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.97,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.93,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.90,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.87,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.83,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.80,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.77,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.74,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.70,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.67,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.63,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.60,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.57,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.54,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.50,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.47,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.43,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.40,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.37,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.33,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.30,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.27,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.24,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.20,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.17,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-3.14,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.10,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.07,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.04,.00,,.00,,95.80,,93.30,,.00,,.00,,.00,,.00,.00,,
-3.00,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-2.97,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-2.93,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-2.90,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-2.87,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-2.83,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-2.80,.00,,.00,,95.80,,93.30,,,,.00,,.00,,.00,.00,,
-2.77,.00,,.00,,95.80,,93.30,,,,8.00,,2.00,,6.00,.00,,
-2.73,.00,,.00,,95.80,,93.30,,,,8.00,,2.00,,6.00,.00,,
-2.70,.00,,.00,,95.80,,93.30,,,,8.00,,2.00,,6.00,.00,,
-2.67,.00,,.00,,95.80,,93.30,,,,8.00,,2.00,,6.00,.00,,
-2.63,.00,,.00,,95.80,,93.30,,,,8.00,,2.00,,6.00,.00,,
-2.60,.00,,.00,,95.80,,93.30,,,,8.00,,2.00,,6.00,.00,,
